effective_date,symbol
2009-01-31,SUZLON.NS
2009-01-31,TATACOMM.NS
2009-01-31,TATAMOTORS.NS
2009-01-31,TATAPOWER.NS
2009-01-31,TATASTEEL.NS
2009-01-31,TCS.NS
2009-01-31,UNITECH.NS
2009-01-31,WIPRO.NS
2009-01-31,ZEEL.NS
2009-02-28,ABB.NS
2009-02-28,ACC.NS
2009-02-28,AMBUJACEM.NS
2009-02-28,BHARTIARTL.NS
2009-02-28,BHEL.NS
2009-02-28,BPCL.NS
2009-02-28,CAIRN.NS
2009-02-28,CIPLA.NS
2009-02-28,DLF.NS
2009-02-28,GAIL.NS
2009-02-28,GRASIM.NS
2009-02-28,HCLTECH.NS
2009-02-28,HDFC.NS
2009-02-28,HDFCBANK.NS
2009-02-28,HEROMOTOCO.NS
2009-02-28,HINDALCO.NS
2009-02-28,HINDUNILVR.NS
2009-02-28,ICICIBANK.NS
2009-02-28,IDEA.NS
2009-02-28,INFY.NS
2009-02-28,ITC.NS
2009-02-28,LT.NS
2009-02-28,M&M.NS
2009-02-28,MARUTI.NS
2009-02-28,NATIONALUM.NS
2009-02-28,NTPC.NS
2009-02-28,ONGC.NS
2009-02-28,PNB.NS
2009-02-28,POWERGRID.NS
2009-02-28,RANBAXY.NS
2009-02-28,RCOM.NS
2009-02-28,RELCAPITAL.NS
2009-02-28,RELIANCE.NS
2009-02-28,RELINFRA.NS
2009-02-28,RPL.NS
2009-02-28,RPOWER.NS
2009-02-28,SAIL.NS
2009-02-28,SBIN.NS
2009-02-28,SIEMENS.NS
2009-02-28,STER.NS
2009-02-28,SUNPHARMA.NS
2009-02-28,SUZLON.NS
2009-02-28,TATACOMM.NS
2009-02-28,TATAMOTORS.NS
2009-02-28,TATAPOWER.NS
2009-02-28,TATASTEEL.NS
2009-02-28,TCS.NS
2009-02-28,UNITECH.NS
2009-02-28,WIPRO.NS
2009-02-28,ZEEL.NS
2009-04-01,ABB.NS
2009-04-01,ACC.NS
2009-04-01,AMBUJACEM.NS
2009-04-01,AXISBANK.NS
2009-04-01,BHARTIARTL.NS
